2017-11-08 20:53:33,204 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Retrieving column information for table "user"
2017-11-08 20:53:33,247 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "account_uid", data type 1, in table "study..user"
2017-11-08 20:53:33,247 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "user_password", data type 12, in table "study..user"
2017-11-08 20:53:33,247 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "user_name", data type 12, in table "study..user"
2017-11-08 20:53:33,248 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "age", data type 4, in table "study..user"
2017-11-08 20:53:33,248 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "company", data type 12, in table "study..user"
2017-11-08 20:53:33,256 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Retrieving column information for table "platform_order"
2017-11-08 20:53:33,263 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "order_uid", data type 12, in table "study..platform_order"
2017-11-08 20:53:33,263 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "row_status", data type 12, in table "study..platform_order"
2017-11-08 20:53:33,263 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "row_version", data type 93, in table "study..platform_order"
2017-11-08 20:53:33,263 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "order_type", data type -6, in table "study..platform_order"
2017-11-08 20:53:33,263 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "order_amount", data type 3, in table "study..platform_order"
2017-11-08 20:53:33,263 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "order_pay_amount", data type 3, in table "study..platform_order"
2017-11-08 20:53:33,263 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "order_discount", data type 3, in table "study..platform_order"
2017-11-08 20:53:33,264 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "order_discount_amount", data type 3, in table "study..platform_order"
2017-11-08 20:53:33,264 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "order_freight", data type 3, in table "study..platform_order"
2017-11-08 20:53:33,264 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "extra_info", data type 12, in table "study..platform_order"
2017-11-08 20:53:33,264 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "payment_method", data type 12, in table "study..platform_order"
2017-11-08 20:53:33,264 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "pay_time", data type 93, in table "study..platform_order"
2017-11-08 20:53:33,264 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "order_account", data type 12, in table "study..platform_order"
2017-11-08 20:53:33,264 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "order_account_phone", data type 12, in table "study..platform_order"
2017-11-08 20:53:33,265 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "subscribe_date", data type 93, in table "study..platform_order"
2017-11-08 20:53:33,265 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "receiver", data type 12, in table "study..platform_order"
2017-11-08 20:53:33,265 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "receiver_phone", data type 12, in table "study..platform_order"
2017-11-08 20:53:33,265 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "receiver_address", data type 12, in table "study..platform_order"
2017-11-08 20:53:33,265 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "tracking_no", data type 12, in table "study..platform_order"
2017-11-08 20:53:33,265 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "tracking_company", data type 12, in table "study..platform_order"
2017-11-08 20:53:33,265 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "out_trade_no", data type 12, in table "study..platform_order"
2017-11-08 20:53:33,265 [DEBUG] org.mybatis.generator.internal.db.DatabaseIntrospector  - Found column "cancel_date", data type 93, in table "study..platform_order"
